trigger_date,code,name,sector,score,trigger_price,trigger_change_pct,rise_speed_pct,active_buy_ratio,status,next_day_date,gap_pct,next_return_pct,next_high_return_pct,next_low_return_pct
2026-05-22,600438,通威股份,光伏设备,134.07,16.1,3.27,2.03,0.4664,等待次日,,0,0,0,0
2026-05-22,002624,完美世界,游戏,82.69,14.52,1.68,1.04,0.4823,等待次日,,0,0,0,0
